Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51,,
P333,9.00 ,9.00 ,5.00 ,8.00 ,11.00 ,13.00 ,11.00 ,13.00 ,9.00 ,9.00 ,13.00 ,11.00 ,13.00 ,14.00 ,11.00 ,15.00 ,6.00 ,11.00 ,14.00 ,11.00 ,12.00 ,6.00 ,5.00 ,12.00 ,13.00 ,8.00 ,8.00 ,7.00 ,7.00 ,5.00 ,7.00 ,6.00 ,8.00 ,12.00 ,8.00 ,8.00 ,5.00 ,6.00 ,6.00 ,9.00 ,11.00 ,6.00 ,4.00 ,5.00 ,9.00 ,8.00 ,8.00 ,15.00 ,7.00 ,6.00 ,11.00 ,9.00 ,4.00 ,15.00 ,0.45 ,0.45 ,0.09 ,0.36 ,0.64 ,0.82 ,0.64 ,0.82 ,0.45 ,0.45 ,0.82 ,0.64 ,0.82 ,0.91 ,0.64 ,1.00 ,0.18 ,0.64 ,0.91 ,0.64 ,0.73 ,0.18 ,0.09 ,0.73 ,0.82 ,0.36 ,0.36 ,0.27 ,0.27 ,0.09 ,0.27 ,0.18 ,0.36 ,0.73 ,0.36 ,0.36 ,0.09 ,0.18 ,0.18 ,0.45 ,0.64 ,0.18 ,0.00 ,0.09 ,0.45 ,0.36 ,0.36 ,1.00 ,0.27 ,0.18 ,0.64 ,0.45 ,9.12 ,0.46 
P334,11.00 ,13.00 ,15.00 ,8.00 ,16.00 ,16.00 ,10.00 ,10.00 ,10.00 ,12.00 ,11.00 ,14.00 ,8.00 ,5.00 ,9.00 ,5.00 ,12.00 ,13.00 ,12.00 ,22.00 ,12.00 ,14.00 ,10.00 ,10.00 ,10.00 ,11.00 ,7.00 ,17.00 ,5.00 ,5.00 ,5.00 ,16.00 ,7.00 ,6.00 ,7.00 ,11.00 ,10.00 ,6.00 ,2.00 ,12.00 ,10.00 ,8.00 ,6.00 ,7.00 ,9.00 ,3.00 ,9.00 ,10.00 ,8.00 ,7.00 ,12.00 ,9.00 ,2.00 ,22.00 ,0.45 ,0.55 ,0.65 ,0.30 ,0.70 ,0.70 ,0.40 ,0.40 ,0.40 ,0.50 ,0.45 ,0.60 ,0.30 ,0.15 ,0.35 ,0.15 ,0.50 ,0.55 ,0.50 ,1.00 ,0.50 ,0.60 ,0.40 ,0.40 ,0.40 ,0.45 ,0.25 ,0.75 ,0.15 ,0.15 ,0.15 ,0.70 ,0.25 ,0.20 ,0.25 ,0.45 ,0.40 ,0.20 ,0.00 ,0.50 ,0.40 ,0.30 ,0.20 ,0.25 ,0.35 ,0.05 ,0.35 ,0.40 ,0.30 ,0.25 ,0.50 ,0.35 ,9.90 ,0.39 
P335,6.00 ,4.00 ,2.00 ,4.00 ,3.00 ,2.00 ,7.00 ,0.00 ,2.00 ,5.00 ,2.00 ,7.00 ,2.00 ,3.00 ,6.00 ,3.00 ,2.00 ,2.00 ,3.00 ,4.00 ,1.00 ,4.00 ,3.00 ,2.00 ,5.00 ,2.00 ,4.00 ,4.00 ,1.00 ,3.00 ,2.00 ,4.00 ,4.00 ,4.00 ,3.00 ,1.00 ,4.00 ,6.00 ,1.00 ,0.00 ,4.00 ,8.00 ,1.00 ,6.00 ,4.00 ,5.00 ,2.00 ,2.00 ,1.00 ,1.00 ,2.00 ,6.00 ,0.00 ,8.00 ,0.75 ,0.50 ,0.25 ,0.50 ,0.38 ,0.25 ,0.88 ,0.00 ,0.25 ,0.63 ,0.25 ,0.88 ,0.25 ,0.38 ,0.75 ,0.38 ,0.25 ,0.25 ,0.38 ,0.50 ,0.13 ,0.50 ,0.38 ,0.25 ,0.63 ,0.25 ,0.50 ,0.50 ,0.13 ,0.38 ,0.25 ,0.50 ,0.50 ,0.50 ,0.38 ,0.13 ,0.50 ,0.75 ,0.13 ,0.00 ,0.50 ,1.00 ,0.13 ,0.75 ,0.50 ,0.63 ,0.25 ,0.25 ,0.13 ,0.13 ,0.25 ,0.75 ,3.27 ,0.41 
P336,2.00 ,3.00 ,5.00 ,3.00 ,1.00 ,4.00 ,4.00 ,3.00 ,3.00 ,3.00 ,4.00 ,2.00 ,5.00 ,5.00 ,9.00 ,5.00 ,1.00 ,4.00 ,3.00 ,5.00 ,3.00 ,3.00 ,4.00 ,4.00 ,5.00 ,4.00 ,4.00 ,2.00 ,2.00 ,4.00 ,0.00 ,5.00 ,3.00 ,4.00 ,1.00 ,4.00 ,3.00 ,3.00 ,1.00 ,4.00 ,2.00 ,3.00 ,2.00 ,4.00 ,1.00 ,4.00 ,7.00 ,7.00 ,4.00 ,4.00 ,3.00 ,4.00 ,0.00 ,9.00 ,0.22 ,0.33 ,0.56 ,0.33 ,0.11 ,0.44 ,0.44 ,0.33 ,0.33 ,0.33 ,0.44 ,0.22 ,0.56 ,0.56 ,1.00 ,0.56 ,0.11 ,0.44 ,0.33 ,0.56 ,0.33 ,0.33 ,0.44 ,0.44 ,0.56 ,0.44 ,0.44 ,0.22 ,0.22 ,0.44 ,0.00 ,0.56 ,0.33 ,0.44 ,0.11 ,0.44 ,0.33 ,0.33 ,0.11 ,0.44 ,0.22 ,0.33 ,0.22 ,0.44 ,0.11 ,0.44 ,0.78 ,0.78 ,0.44 ,0.44 ,0.33 ,0.44 ,3.49 ,0.39 
P337,3.00 ,6.00 ,3.00 ,1.00 ,1.00 ,7.00 ,3.00 ,3.00 ,1.00 ,3.00 ,1.00 ,7.00 ,5.00 ,4.00 ,8.00 ,2.00 ,8.00 ,3.00 ,6.00 ,4.00 ,3.00 ,4.00 ,6.00 ,4.00 ,4.00 ,5.00 ,5.00 ,1.00 ,3.00 ,4.00 ,1.00 ,3.00 ,2.00 ,5.00 ,4.00 ,4.00 ,5.00 ,5.00 ,2.00 ,1.00 ,2.00 ,6.00 ,7.00 ,6.00 ,1.00 ,4.00 ,6.00 ,3.00 ,4.00 ,8.00 ,1.00 ,3.00 ,1.00 ,8.00 ,0.29 ,0.71 ,0.29 ,0.00 ,0.00 ,0.86 ,0.29 ,0.29 ,0.00 ,0.29 ,0.00 ,0.86 ,0.57 ,0.43 ,1.00 ,0.14 ,1.00 ,0.29 ,0.71 ,0.43 ,0.29 ,0.43 ,0.71 ,0.43 ,0.43 ,0.57 ,0.57 ,0.00 ,0.29 ,0.43 ,0.00 ,0.29 ,0.14 ,0.57 ,0.43 ,0.43 ,0.57 ,0.57 ,0.14 ,0.00 ,0.14 ,0.71 ,0.86 ,0.71 ,0.00 ,0.43 ,0.71 ,0.29 ,0.43 ,1.00 ,0.00 ,0.29 ,3.86 ,0.41 
P338,2.00 ,2.00 ,1.00 ,3.00 ,4.00 ,2.00 ,1.00 ,2.00 ,3.00 ,5.00 ,2.00 ,5.00 ,3.00 ,3.00 ,3.00 ,1.00 ,2.00 ,2.00 ,1.00 ,2.00 ,2.00 ,3.00 ,3.00 ,7.00 ,3.00 ,4.00 ,1.00 ,4.00 ,0.00 ,3.00 ,3.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,3.00 ,2.00 ,3.00 ,0.00 ,7.00 ,3.00 ,4.00 ,1.00 ,2.00 ,1.00 ,4.00 ,3.00 ,3.00 ,9.00 ,5.00 ,0.00 ,9.00 ,0.22 ,0.22 ,0.11 ,0.33 ,0.44 ,0.22 ,0.11 ,0.22 ,0.33 ,0.56 ,0.22 ,0.56 ,0.33 ,0.33 ,0.33 ,0.11 ,0.22 ,0.22 ,0.11 ,0.22 ,0.22 ,0.33 ,0.33 ,0.78 ,0.33 ,0.44 ,0.11 ,0.44 ,0.00 ,0.33 ,0.33 ,0.00 ,0.11 ,0.00 ,0.11 ,0.11 ,0.11 ,0.33 ,0.22 ,0.33 ,0.00 ,0.78 ,0.33 ,0.44 ,0.11 ,0.22 ,0.11 ,0.44 ,0.33 ,0.33 ,1.00 ,0.56 ,2.43 ,0.29 
P339,0.00 ,0.00 ,1.00 ,2.00 ,4.00 ,2.00 ,0.00 ,0.00 ,2.00 ,1.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,2.00 ,0.00 ,2.00 ,1.00 ,0.00 ,1.00 ,3.00 ,2.00 ,3.00 ,1.00 ,0.00 ,2.00 ,0.00 ,2.00 ,2.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,2.00 ,0.00 ,2.00 ,2.00 ,1.00 ,2.00 ,1.00 ,2.00 ,2.00 ,2.00 ,0.00 ,4.00 ,0.00 ,0.00 ,0.25 ,0.50 ,1.00 ,0.50 ,0.00 ,0.00 ,0.50 ,0.25 ,0.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.75 ,0.25 ,0.00 ,0.25 ,0.25 ,0.25 ,0.00 ,0.50 ,0.00 ,0.50 ,0.25 ,0.00 ,0.25 ,0.75 ,0.50 ,0.75 ,0.25 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,0.25 ,0.00 ,0.25 ,0.25 ,0.25 ,0.50 ,0.00 ,0.50 ,0.50 ,0.25 ,0.50 ,0.25 ,0.50 ,0.50 ,0.50 ,1.16 ,0.30 
P340,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,2.00 ,0.00 ,1.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,1.00 ,1.00 ,2.00 ,0.00 ,1.00 ,2.00 ,2.00 ,2.00 ,2.00 ,1.00 ,0.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.33 ,0.00 ,0.00 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.67 ,0.00 ,0.33 ,0.67 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.33 ,0.67 ,0.33 ,0.33 ,0.67 ,0.00 ,0.33 ,0.67 ,0.67 ,0.67 ,0.67 ,0.33 ,0.51 ,0.19 
P341,5.00 ,1.00 ,3.00 ,1.00 ,1.00 ,3.00 ,5.00 ,3.00 ,3.00 ,1.00 ,4.00 ,7.00 ,4.00 ,3.00 ,6.00 ,0.00 ,3.00 ,3.00 ,4.00 ,4.00 ,6.00 ,2.00 ,2.00 ,4.00 ,1.00 ,6.00 ,1.00 ,2.00 ,1.00 ,6.00 ,3.00 ,5.00 ,3.00 ,1.00 ,6.00 ,4.00 ,1.00 ,2.00 ,8.00 ,3.00 ,4.00 ,0.00 ,1.00 ,0.00 ,6.00 ,2.00 ,1.00 ,2.00 ,3.00 ,8.00 ,2.00 ,8.00 ,0.00 ,8.00 ,0.63 ,0.13 ,0.38 ,0.13 ,0.13 ,0.38 ,0.63 ,0.38 ,0.38 ,0.13 ,0.50 ,0.88 ,0.50 ,0.38 ,0.75 ,0.00 ,0.38 ,0.38 ,0.50 ,0.50 ,0.75 ,0.25 ,0.25 ,0.50 ,0.13 ,0.75 ,0.13 ,0.25 ,0.13 ,0.75 ,0.38 ,0.63 ,0.38 ,0.13 ,0.75 ,0.50 ,0.13 ,0.25 ,1.00 ,0.38 ,0.50 ,0.00 ,0.13 ,0.00 ,0.75 ,0.25 ,0.13 ,0.25 ,0.38 ,1.00 ,0.25 ,1.00 ,3.06 ,0.41 
P342,3.00 ,2.00 ,2.00 ,2.00 ,3.00 ,0.00 ,1.00 ,2.00 ,2.00 ,4.00 ,1.00 ,0.00 ,3.00 ,3.00 ,5.00 ,4.00 ,1.00 ,2.00 ,4.00 ,2.00 ,2.00 ,5.00 ,2.00 ,3.00 ,3.00 ,3.00 ,5.00 ,3.00 ,2.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,3.00 ,2.00 ,2.00 ,1.00 ,3.00 ,2.00 ,3.00 ,1.00 ,3.00 ,2.00 ,3.00 ,3.00 ,1.00 ,2.00 ,2.00 ,5.00 ,6.00 ,0.00 ,6.00 ,0.50 ,0.33 ,0.33 ,0.33 ,0.50 ,0.00 ,0.17 ,0.33 ,0.33 ,0.67 ,0.17 ,0.00 ,0.50 ,0.50 ,0.83 ,0.67 ,0.17 ,0.33 ,0.67 ,0.33 ,0.33 ,0.83 ,0.33 ,0.50 ,0.50 ,0.50 ,0.83 ,0.50 ,0.33 ,0.00 ,0.17 ,0.17 ,0.00 ,0.00 ,0.00 ,0.50 ,0.33 ,0.33 ,0.17 ,0.50 ,0.33 ,0.50 ,0.17 ,0.50 ,0.33 ,0.50 ,0.50 ,0.17 ,0.33 ,0.33 ,0.83 ,1.00 ,2.18 ,0.38 
P343,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,5.00 ,2.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,2.00 ,3.00 ,1.00 ,3.00 ,5.00 ,0.00 ,3.00 ,0.00 ,1.00 ,5.00 ,4.00 ,4.00 ,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,2.00 ,0.00 ,1.00 ,4.00 ,3.00 ,0.00 ,2.00 ,2.00 ,2.00 ,4.00 ,5.00 ,3.00 ,0.00 ,3.00 ,1.00 ,2.00 ,2.00 ,1.00 ,6.00 ,1.00 ,2.00 ,5.00 ,0.00 ,6.00 ,0.00 ,0.00 ,0.33 ,0.17 ,0.00 ,0.83 ,0.33 ,0.17 ,0.17 ,0.17 ,0.17 ,0.17 ,0.17 ,0.33 ,0.50 ,0.17 ,0.50 ,0.83 ,0.00 ,0.50 ,0.00 ,0.17 ,0.83 ,0.67 ,0.67 ,0.33 ,0.33 ,0.17 ,0.00 ,0.00 ,0.33 ,0.00 ,0.17 ,0.67 ,0.50 ,0.00 ,0.33 ,0.33 ,0.33 ,0.67 ,0.83 ,0.50 ,0.00 ,0.50 ,0.17 ,0.33 ,0.33 ,0.17 ,1.00 ,0.17 ,0.33 ,0.83 ,1.94 ,0.33 
P344,1.00 ,2.00 ,0.00 ,3.00 ,0.00 ,0.00 ,3.00 ,1.00 ,2.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,2.00 ,2.00 ,4.00 ,0.00 ,1.00 ,1.00 ,2.00 ,1.00 ,2.00 ,4.00 ,2.00 ,0.00 ,1.00 ,1.00 ,1.00 ,4.00 ,2.00 ,1.00 ,1.00 ,1.00 ,3.00 ,2.00 ,0.00 ,2.00 ,1.00 ,3.00 ,3.00 ,1.00 ,1.00 ,2.00 ,3.00 ,1.00 ,3.00 ,2.00 ,3.00 ,1.00 ,3.00 ,0.00 ,4.00 ,0.25 ,0.50 ,0.00 ,0.75 ,0.00 ,0.00 ,0.75 ,0.25 ,0.50 ,0.00 ,0.00 ,0.25 ,0.50 ,0.00 ,0.00 ,0.50 ,0.50 ,1.00 ,0.00 ,0.25 ,0.25 ,0.50 ,0.25 ,0.50 ,1.00 ,0.50 ,0.00 ,0.25 ,0.25 ,0.25 ,1.00 ,0.50 ,0.25 ,0.25 ,0.25 ,0.75 ,0.50 ,0.00 ,0.50 ,0.25 ,0.75 ,0.75 ,0.25 ,0.25 ,0.50 ,0.75 ,0.25 ,0.75 ,0.50 ,0.75 ,0.25 ,0.75 ,1.53 ,0.39 
P345,2.00 ,3.00 ,2.00 ,0.00 ,7.00 ,1.00 ,2.00 ,6.00 ,1.00 ,1.00 ,3.00 ,2.00 ,1.00 ,0.00 ,2.00 ,0.00 ,5.00 ,3.00 ,2.00 ,1.00 ,1.00 ,0.00 ,1.00 ,2.00 ,5.00 ,3.00 ,3.00 ,1.00 ,3.00 ,2.00 ,4.00 ,2.00 ,0.00 ,4.00 ,4.00 ,2.00 ,2.00 ,1.00 ,1.00 ,6.00 ,2.00 ,2.00 ,3.00 ,7.00 ,3.00 ,2.00 ,3.00 ,1.00 ,1.00 ,3.00 ,7.00 ,8.00 ,0.00 ,8.00 ,0.25 ,0.38 ,0.25 ,0.00 ,0.88 ,0.13 ,0.25 ,0.75 ,0.13 ,0.13 ,0.38 ,0.25 ,0.13 ,0.00 ,0.25 ,0.00 ,0.63 ,0.38 ,0.25 ,0.13 ,0.13 ,0.00 ,0.13 ,0.25 ,0.63 ,0.38 ,0.38 ,0.13 ,0.38 ,0.25 ,0.50 ,0.25 ,0.00 ,0.50 ,0.50 ,0.25 ,0.25 ,0.13 ,0.13 ,0.75 ,0.25 ,0.25 ,0.38 ,0.88 ,0.38 ,0.25 ,0.38 ,0.13 ,0.13 ,0.38 ,0.88 ,1.00 ,2.35 ,0.32 
P346,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,1.00 ,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,1.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,1.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,1.00 ,0.50 ,0.50 ,0.27 ,0.16 
P347,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,2.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.50 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.50 ,0.50 ,0.00 ,0.00 ,0.00 ,1.00 ,0.50 ,0.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.00 ,0.00 ,0.39 ,0.19 
P348,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,2.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,1.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.50 ,0.50 ,0.50 ,0.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.00 ,0.50 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.50 ,0.45 ,0.22 
P349,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,1.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.50 ,0.50 ,0.00 ,1.00 ,0.27 ,0.15 
P350,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.50 ,0.50 ,0.00 ,0.00 ,0.14 ,0.08 
P351,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.04 ,0.06 
P352,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.10 ,0.12 
